Episode 110, Reward: 0.07499999552965164, Avg Critic Loss: 0.0151, Avg Actor Loss: -0.9518, Avg Alpha Loss: -0.6500
Episode 111, Reward: 0.09000000357627869, Avg Critic Loss: 0.0159, Avg Actor Loss: -0.9565, Avg Alpha Loss: -0.6508
Episode 112, Reward: 0.09000000357627869, Avg Critic Loss: 0.0145, Avg Actor Loss: -0.9812, Avg Alpha Loss: -0.6511
Episode 113, Reward: 0.10000000894069672, Avg Critic Loss: 0.0146, Avg Actor Loss: -0.9932, Avg Alpha Loss: -0.6515
Episode 114, Reward: 0.07999999821186066, Avg Critic Loss: 0.0143, Avg Actor Loss: -1.0220, Avg Alpha Loss: -0.6520
Episode 115, Reward: 0.07499999552965164, Avg Critic Loss: 0.0134, Avg Actor Loss: -1.0269, Avg Alpha Loss: -0.6525
Episode 116, Reward: 0.12000001966953278, Avg Critic Loss: 0.0143, Avg Actor Loss: -1.0490, Avg Alpha Loss: -0.6526
Episode 117, Reward: 0.05499999225139618, Avg Critic Loss: 0.0133, Avg Actor Loss: -1.0606, Avg Alpha Loss: -0.6521
Episode 118, Reward: 0.04999999329447746, Avg Critic Loss: 0.0149, Avg Actor Loss: -1.0734, Avg Alpha Loss: -0.6523
Episode 119, Reward: 0.07999999821186066, Avg Critic Loss: 0.0152, Avg Actor Loss: -1.0971, Avg Alpha Loss: -0.6526
Episode 120, Reward: 0.04999999329447746, Avg Critic Loss: 0.0144, Avg Actor Loss: -1.1051, Avg Alpha Loss: -0.6533
Episode 121, Reward: 0.044999994337558746, Avg Critic Loss: 0.0159, Avg Actor Loss: -1.1138, Avg Alpha Loss: -0.6527
Episode 122, Reward: 0.059999991208314896, Avg Critic Loss: 0.0133, Avg Actor Loss: -1.1226, Avg Alpha Loss: -0.6533
Episode 123, Reward: 0.07999999821186066, Avg Critic Loss: 0.0128, Avg Actor Loss: -1.1341, Avg Alpha Loss: -0.6530
Episode 124, Reward: 0.03999999538064003, Avg Critic Loss: 0.0124, Avg Actor Loss: -1.1411, Avg Alpha Loss: -0.6531
Episode 125, Reward: 0.044999994337558746, Avg Critic Loss: 0.0106, Avg Actor Loss: -1.1596, Avg Alpha Loss: -0.6526
Episode 126, Reward: 0.059999991208314896, Avg Critic Loss: 0.0137, Avg Actor Loss: -1.1678, Avg Alpha Loss: -0.6519
Episode 127, Reward: 0.07999999821186066, Avg Critic Loss: 0.0159, Avg Actor Loss: -1.1802, Avg Alpha Loss: -0.6524
Episode 128, Reward: 0.05499999225139618, Avg Critic Loss: 0.0132, Avg Actor Loss: -1.1917, Avg Alpha Loss: -0.6526
Episode 129, Reward: 0.05499999225139618, Avg Critic Loss: 0.0140, Avg Actor Loss: -1.2067, Avg Alpha Loss: -0.6523
Episode 130, Reward: 0.10500001162290573, Avg Critic Loss: 0.0133, Avg Actor Loss: -1.2203, Avg Alpha Loss: -0.6528
Episode 131, Reward: 0.04999999329447746, Avg Critic Loss: 0.0148, Avg Actor Loss: -1.2312, Avg Alpha Loss: -0.6512
Episode 132, Reward: 0.03999999538064003, Avg Critic Loss: 0.0151, Avg Actor Loss: -1.2436, Avg Alpha Loss: -0.6510
Episode 133, Reward: 0.06499999016523361, Avg Critic Loss: 0.0144, Avg Actor Loss: -1.2519, Avg Alpha Loss: -0.6509
Episode 134, Reward: 0.07999999821186066, Avg Critic Loss: 0.0170, Avg Actor Loss: -1.2563, Avg Alpha Loss: -0.6517
Episode 135, Reward: 0.04999999329447746, Avg Critic Loss: 0.0130, Avg Actor Loss: -1.2866, Avg Alpha Loss: -0.6517
Episode 136, Reward: 0.059999991208314896, Avg Critic Loss: 0.0164, Avg Actor Loss: -1.2859, Avg Alpha Loss: -0.6500
Episode 137, Reward: 0.15999998152256012, Avg Critic Loss: 0.0145, Avg Actor Loss: -1.3151, Avg Alpha Loss: -0.6520
Episode 138, Reward: 0.04999999329447746, Avg Critic Loss: 0.0152, Avg Actor Loss: -1.3370, Avg Alpha Loss: -0.6524
Episode 139, Reward: 0.03999999538064003, Avg Critic Loss: 0.0174, Avg Actor Loss: -1.3498, Avg Alpha Loss: -0.6530
Episode 140, Reward: 0.09000000357627869, Avg Critic Loss: 0.0179, Avg Actor Loss: -1.3595, Avg Alpha Loss: -0.6523
Episode 141, Reward: 0.04999999329447746, Avg Critic Loss: 0.0148, Avg Actor Loss: -1.3821, Avg Alpha Loss: -0.6521
Episode 142, Reward: 0.08500000089406967, Avg Critic Loss: 0.0229, Avg Actor Loss: -1.3736, Avg Alpha Loss: -0.6499
Episode 143, Reward: 0.12000001966953278, Avg Critic Loss: 0.0173, Avg Actor Loss: -1.4061, Avg Alpha Loss: -0.6517
Episode 144, Reward: 0.059999991208314896, Avg Critic Loss: 0.0176, Avg Actor Loss: -1.4157, Avg Alpha Loss: -0.6518
Episode 145, Reward: 0.06999999284744263, Avg Critic Loss: 0.0179, Avg Actor Loss: -1.4260, Avg Alpha Loss: -0.6512
Episode 146, Reward: 0.06999999284744263, Avg Critic Loss: 0.0156, Avg Actor Loss: -1.4405, Avg Alpha Loss: -0.6513
Episode 147, Reward: 0.03999999538064003, Avg Critic Loss: 0.0210, Avg Actor Loss: -1.4470, Avg Alpha Loss: -0.6503
Episode 148, Reward: 0.05499999225139618, Avg Critic Loss: 0.0151, Avg Actor Loss: -1.4579, Avg Alpha Loss: -0.6516
Episode 149, Reward: 0.21499992907047272, Avg Critic Loss: 0.0193, Avg Actor Loss: -1.4863, Avg Alpha Loss: -0.6514
Episode 150, Reward: 0.04999999329447746, Avg Critic Loss: 0.0203, Avg Actor Loss: -1.5133, Avg Alpha Loss: -0.6509
Episode 151, Reward: 0.0950000062584877, Avg Critic Loss: 0.0205, Avg Actor Loss: -1.5237, Avg Alpha Loss: -0.6526
Episode 152, Reward: 0.03999999538064003, Avg Critic Loss: 0.0234, Avg Actor Loss: -1.5263, Avg Alpha Loss: -0.6499
Episode 153, Reward: 0.14499999582767487, Avg Critic Loss: 0.0224, Avg Actor Loss: -1.5422, Avg Alpha Loss: -0.6515
Episode 154, Reward: 0.044999994337558746, Avg Critic Loss: 0.0240, Avg Actor Loss: -1.5621, Avg Alpha Loss: -0.6507
Episode 155, Reward: 0.05499999225139618, Avg Critic Loss: 0.0200, Avg Actor Loss: -1.5833, Avg Alpha Loss: -0.6505
Episode 156, Reward: 0.10500001162290573, Avg Critic Loss: 0.0222, Avg Actor Loss: -1.5902, Avg Alpha Loss: -0.6517
Episode 157, Reward: 0.06999999284744263, Avg Critic Loss: 0.0241, Avg Actor Loss: -1.6128, Avg Alpha Loss: -0.6516
Episode 158, Reward: 0.04999999329447746, Avg Critic Loss: 0.0249, Avg Actor Loss: -1.6099, Avg Alpha Loss: -0.6514
Episode 159, Reward: 0.1549999862909317, Avg Critic Loss: 0.0226, Avg Actor Loss: -1.6428, Avg Alpha Loss: -0.6516
Episode 160, Reward: 0.06999999284744263, Avg Critic Loss: 0.0216, Avg Actor Loss: -1.6474, Avg Alpha Loss: -0.6500
Episode 161, Reward: 0.06499999016523361, Avg Critic Loss: 0.0235, Avg Actor Loss: -1.6646, Avg Alpha Loss: -0.6517
Episode 162, Reward: 0.03999999538064003, Avg Critic Loss: 0.0169, Avg Actor Loss: -1.6959, Avg Alpha Loss: -0.6512
Episode 163, Reward: 0.05499999225139618, Avg Critic Loss: 0.0249, Avg Actor Loss: -1.6815, Avg Alpha Loss: -0.6524
Episode 164, Reward: 0.059999991208314896, Avg Critic Loss: 0.0231, Avg Actor Loss: -1.6971, Avg Alpha Loss: -0.6507
Episode 165, Reward: 0.07499999552965164, Avg Critic Loss: 0.0277, Avg Actor Loss: -1.7072, Avg Alpha Loss: -0.6542
Episode 166, Reward: 0.05499999225139618, Avg Critic Loss: 0.0359, Avg Actor Loss: -1.6837, Avg Alpha Loss: -0.6516
Episode 167, Reward: 0.044999994337558746, Avg Critic Loss: 0.0276, Avg Actor Loss: -1.7394, Avg Alpha Loss: -0.6554
Episode 168, Reward: 0.04999999329447746, Avg Critic Loss: 0.0270, Avg Actor Loss: -1.7442, Avg Alpha Loss: -0.6529
Episode 169, Reward: 0.0950000062584877, Avg Critic Loss: 0.0263, Avg Actor Loss: -1.7508, Avg Alpha Loss: -0.6537
Episode 170, Reward: 0.05499999225139618, Avg Critic Loss: 0.0259, Avg Actor Loss: -1.7670, Avg Alpha Loss: -0.6532
Episode 171, Reward: 0.06499999016523361, Avg Critic Loss: 0.0230, Avg Actor Loss: -1.7736, Avg Alpha Loss: -0.6543
Episode 172, Reward: 0.04999999329447746, Avg Critic Loss: 0.0273, Avg Actor Loss: -1.7721, Avg Alpha Loss: -0.6549
Episode 173, Reward: 0.03999999538064003, Avg Critic Loss: 0.0271, Avg Actor Loss: -1.7836, Avg Alpha Loss: -0.6521
Episode 174, Reward: 0.06499999016523361, Avg Critic Loss: 0.0244, Avg Actor Loss: -1.8107, Avg Alpha Loss: -0.6534
Episode 175, Reward: 0.06499999016523361, Avg Critic Loss: 0.0273, Avg Actor Loss: -1.8115, Avg Alpha Loss: -0.6542
Episode 176, Reward: 0.044999994337558746, Avg Critic Loss: 0.0247, Avg Actor Loss: -1.8139, Avg Alpha Loss: -0.6533
Episode 177, Reward: 0.06499999016523361, Avg Critic Loss: 0.0258, Avg Actor Loss: -1.8326, Avg Alpha Loss: -0.6547
Episode 178, Reward: 0.05499999225139618, Avg Critic Loss: 0.0253, Avg Actor Loss: -1.8514, Avg Alpha Loss: -0.6553
Episode 179, Reward: 0.044999994337558746, Avg Critic Loss: 0.0301, Avg Actor Loss: -1.8292, Avg Alpha Loss: -0.6517
Episode 180, Reward: 0.06999999284744263, Avg Critic Loss: 0.0359, Avg Actor Loss: -1.8611, Avg Alpha Loss: -0.6554
Episode 181, Reward: 0.04999999329447746, Avg Critic Loss: 0.0380, Avg Actor Loss: -1.8571, Avg Alpha Loss: -0.6547
Episode 182, Reward: 0.14999999105930328, Avg Critic Loss: 0.0305, Avg Actor Loss: -1.8675, Avg Alpha Loss: -0.6558
Episode 183, Reward: 0.12000001966953278, Avg Critic Loss: 0.0308, Avg Actor Loss: -1.8960, Avg Alpha Loss: -0.6544
Episode 184, Reward: 0.044999994337558746, Avg Critic Loss: 0.0295, Avg Actor Loss: -1.9280, Avg Alpha Loss: -0.6571
Episode 185, Reward: 0.044999994337558746, Avg Critic Loss: 0.0303, Avg Actor Loss: -1.9096, Avg Alpha Loss: -0.6519
Episode 186, Reward: 0.06999999284744263, Avg Critic Loss: 0.0354, Avg Actor Loss: -1.9272, Avg Alpha Loss: -0.6551
Episode 187, Reward: 0.044999994337558746, Avg Critic Loss: 0.0295, Avg Actor Loss: -1.9358, Avg Alpha Loss: -0.6567
Episode 188, Reward: 0.06999999284744263, Avg Critic Loss: 0.0356, Avg Actor Loss: -1.9202, Avg Alpha Loss: -0.6539
Episode 189, Reward: 0.044999994337558746, Avg Critic Loss: 0.0320, Avg Actor Loss: -1.9499, Avg Alpha Loss: -0.6529
