Episode 110, Reward: 0.04999999329447746, Avg Critic Loss: 0.0651, Avg Actor Loss: -1.0632, Avg Alpha Loss: -0.6628
Episode 111, Reward: 0.07499999552965164, Avg Critic Loss: 0.0655, Avg Actor Loss: -1.0734, Avg Alpha Loss: -0.6642
Episode 112, Reward: 0.09000000357627869, Avg Critic Loss: 0.0622, Avg Actor Loss: -1.0959, Avg Alpha Loss: -0.6661
Episode 113, Reward: 0.09000000357627869, Avg Critic Loss: 0.0567, Avg Actor Loss: -1.1293, Avg Alpha Loss: -0.6662
Episode 114, Reward: 0.10000000894069672, Avg Critic Loss: 0.0609, Avg Actor Loss: -1.1407, Avg Alpha Loss: -0.6668
Episode 115, Reward: 0.07999999821186066, Avg Critic Loss: 0.0417, Avg Actor Loss: -1.1814, Avg Alpha Loss: -0.6686
Episode 116, Reward: 0.06999999284744263, Avg Critic Loss: 0.0478, Avg Actor Loss: -1.1938, Avg Alpha Loss: -0.6691
Episode 117, Reward: 0.19499994814395905, Avg Critic Loss: 0.0456, Avg Actor Loss: -1.2260, Avg Alpha Loss: -0.6717
Episode 118, Reward: 0.10000000894069672, Avg Critic Loss: 0.0463, Avg Actor Loss: -1.2567, Avg Alpha Loss: -0.6720
Episode 119, Reward: 0.044999994337558746, Avg Critic Loss: 0.0445, Avg Actor Loss: -1.2771, Avg Alpha Loss: -0.6734
Episode 120, Reward: 0.1250000149011612, Avg Critic Loss: 0.0441, Avg Actor Loss: -1.2997, Avg Alpha Loss: -0.6764
Episode 121, Reward: 0.07999999821186066, Avg Critic Loss: 0.0366, Avg Actor Loss: -1.3263, Avg Alpha Loss: -0.6783
Episode 122, Reward: 0.044999994337558746, Avg Critic Loss: 0.0564, Avg Actor Loss: -1.3081, Avg Alpha Loss: -0.6788
Episode 123, Reward: 0.059999991208314896, Avg Critic Loss: 0.0462, Avg Actor Loss: -1.3293, Avg Alpha Loss: -0.6779
Episode 124, Reward: 0.03999999538064003, Avg Critic Loss: 0.0363, Avg Actor Loss: -1.3835, Avg Alpha Loss: -0.6784
Episode 125, Reward: 0.07999999821186066, Avg Critic Loss: 0.0413, Avg Actor Loss: -1.3725, Avg Alpha Loss: -0.6811
Episode 126, Reward: 0.05499999225139618, Avg Critic Loss: 0.0394, Avg Actor Loss: -1.3986, Avg Alpha Loss: -0.6823
Episode 127, Reward: 0.05499999225139618, Avg Critic Loss: 0.0416, Avg Actor Loss: -1.4024, Avg Alpha Loss: -0.6829
Episode 128, Reward: 0.11500001698732376, Avg Critic Loss: 0.0527, Avg Actor Loss: -1.4320, Avg Alpha Loss: -0.6830
Episode 129, Reward: 0.044999994337558746, Avg Critic Loss: 0.0294, Avg Actor Loss: -1.4445, Avg Alpha Loss: -0.6836
Episode 130, Reward: 0.06499999016523361, Avg Critic Loss: 0.0381, Avg Actor Loss: -1.4676, Avg Alpha Loss: -0.6839
Episode 131, Reward: 0.12000001966953278, Avg Critic Loss: 0.0390, Avg Actor Loss: -1.5070, Avg Alpha Loss: -0.6861
Episode 132, Reward: 0.11500001698732376, Avg Critic Loss: 0.0406, Avg Actor Loss: -1.5240, Avg Alpha Loss: -0.6880
Episode 133, Reward: 0.14999999105930328, Avg Critic Loss: 0.0429, Avg Actor Loss: -1.5557, Avg Alpha Loss: -0.6900
Episode 134, Reward: 0.04999999329447746, Avg Critic Loss: 0.0428, Avg Actor Loss: -1.5953, Avg Alpha Loss: -0.6901
Episode 135, Reward: 0.03999999538064003, Avg Critic Loss: 0.0332, Avg Actor Loss: -1.6161, Avg Alpha Loss: -0.6923
Episode 136, Reward: 0.04999999329447746, Avg Critic Loss: 0.0412, Avg Actor Loss: -1.6079, Avg Alpha Loss: -0.6933
Episode 137, Reward: 0.0950000062584877, Avg Critic Loss: 0.0424, Avg Actor Loss: -1.6227, Avg Alpha Loss: -0.6937
Episode 138, Reward: 0.059999991208314896, Avg Critic Loss: 0.0486, Avg Actor Loss: -1.6289, Avg Alpha Loss: -0.6943
Episode 139, Reward: 0.09000000357627869, Avg Critic Loss: 0.0450, Avg Actor Loss: -1.6615, Avg Alpha Loss: -0.6938
Episode 140, Reward: 0.059999991208314896, Avg Critic Loss: 0.0348, Avg Actor Loss: -1.7113, Avg Alpha Loss: -0.6967
Episode 141, Reward: 0.09000000357627869, Avg Critic Loss: 0.0456, Avg Actor Loss: -1.7064, Avg Alpha Loss: -0.6978
Episode 142, Reward: 0.05499999225139618, Avg Critic Loss: 0.0401, Avg Actor Loss: -1.7188, Avg Alpha Loss: -0.6985
Episode 143, Reward: 0.08500000089406967, Avg Critic Loss: 0.0486, Avg Actor Loss: -1.7367, Avg Alpha Loss: -0.6995
Episode 144, Reward: 0.059999991208314896, Avg Critic Loss: 0.0491, Avg Actor Loss: -1.7324, Avg Alpha Loss: -0.7015
Episode 145, Reward: 0.03999999538064003, Avg Critic Loss: 0.0489, Avg Actor Loss: -1.7519, Avg Alpha Loss: -0.7009
Episode 146, Reward: 0.06999999284744263, Avg Critic Loss: 0.0497, Avg Actor Loss: -1.7957, Avg Alpha Loss: -0.7016
Episode 147, Reward: 0.05499999225139618, Avg Critic Loss: 0.0470, Avg Actor Loss: -1.7769, Avg Alpha Loss: -0.7038
Episode 148, Reward: 0.05499999225139618, Avg Critic Loss: 0.0618, Avg Actor Loss: -1.7800, Avg Alpha Loss: -0.7005
Episode 149, Reward: 0.044999994337558746, Avg Critic Loss: 0.0342, Avg Actor Loss: -1.8151, Avg Alpha Loss: -0.7053
Episode 150, Reward: 0.12000001966953278, Avg Critic Loss: 0.0409, Avg Actor Loss: -1.8494, Avg Alpha Loss: -0.7039
Episode 151, Reward: 0.08500000089406967, Avg Critic Loss: 0.0460, Avg Actor Loss: -1.8550, Avg Alpha Loss: -0.7039
Episode 152, Reward: 0.03999999538064003, Avg Critic Loss: 0.0703, Avg Actor Loss: -1.8317, Avg Alpha Loss: -0.7031
Episode 153, Reward: 0.044999994337558746, Avg Critic Loss: 0.0687, Avg Actor Loss: -1.8435, Avg Alpha Loss: -0.7077
Episode 154, Reward: 0.08500000089406967, Avg Critic Loss: 0.0533, Avg Actor Loss: -1.9103, Avg Alpha Loss: -0.7040
Episode 155, Reward: 0.0950000062584877, Avg Critic Loss: 0.0494, Avg Actor Loss: -1.9306, Avg Alpha Loss: -0.7073
Episode 156, Reward: 0.04999999329447746, Avg Critic Loss: 0.0609, Avg Actor Loss: -1.9597, Avg Alpha Loss: -0.7106
Episode 157, Reward: 0.044999994337558746, Avg Critic Loss: 0.0435, Avg Actor Loss: -1.9722, Avg Alpha Loss: -0.7056
Episode 158, Reward: 0.08500000089406967, Avg Critic Loss: 0.0755, Avg Actor Loss: -1.9682, Avg Alpha Loss: -0.7023
Episode 159, Reward: 0.044999994337558746, Avg Critic Loss: 0.0557, Avg Actor Loss: -1.9772, Avg Alpha Loss: -0.7099
Episode 160, Reward: 0.06999999284744263, Avg Critic Loss: 0.0446, Avg Actor Loss: -2.0279, Avg Alpha Loss: -0.7073
Episode 161, Reward: 0.044999994337558746, Avg Critic Loss: 0.0459, Avg Actor Loss: -2.0317, Avg Alpha Loss: -0.7088
Episode 162, Reward: 0.06999999284744263, Avg Critic Loss: 0.0619, Avg Actor Loss: -2.0228, Avg Alpha Loss: -0.7062
Episode 163, Reward: 0.07499999552965164, Avg Critic Loss: 0.0607, Avg Actor Loss: -2.0445, Avg Alpha Loss: -0.7066
Episode 164, Reward: 0.05499999225139618, Avg Critic Loss: 0.0474, Avg Actor Loss: -2.0617, Avg Alpha Loss: -0.7080
Episode 165, Reward: 0.05499999225139618, Avg Critic Loss: 0.0664, Avg Actor Loss: -2.0718, Avg Alpha Loss: -0.7005
Episode 166, Reward: 0.03999999538064003, Avg Critic Loss: 0.0712, Avg Actor Loss: -2.0569, Avg Alpha Loss: -0.7053
Episode 167, Reward: 0.07499999552965164, Avg Critic Loss: 0.0586, Avg Actor Loss: -2.0574, Avg Alpha Loss: -0.7058
Episode 168, Reward: 0.09000000357627869, Avg Critic Loss: 0.0665, Avg Actor Loss: -2.1059, Avg Alpha Loss: -0.7094
Episode 169, Reward: 0.05499999225139618, Avg Critic Loss: 0.0491, Avg Actor Loss: -2.1678, Avg Alpha Loss: -0.7070
Episode 170, Reward: 0.05499999225139618, Avg Critic Loss: 0.0510, Avg Actor Loss: -2.1716, Avg Alpha Loss: -0.7098
Episode 171, Reward: 0.0950000062584877, Avg Critic Loss: 0.0605, Avg Actor Loss: -2.1953, Avg Alpha Loss: -0.7070
Episode 172, Reward: 0.1549999862909317, Avg Critic Loss: 0.0491, Avg Actor Loss: -2.2040, Avg Alpha Loss: -0.7079
Episode 173, Reward: 0.1300000101327896, Avg Critic Loss: 0.0452, Avg Actor Loss: -2.2463, Avg Alpha Loss: -0.7065
Episode 174, Reward: 0.059999991208314896, Avg Critic Loss: 0.0626, Avg Actor Loss: -2.2469, Avg Alpha Loss: -0.7120
Episode 175, Reward: 0.10000000894069672, Avg Critic Loss: 0.0537, Avg Actor Loss: -2.2665, Avg Alpha Loss: -0.7103
Episode 176, Reward: 0.06999999284744263, Avg Critic Loss: 0.0494, Avg Actor Loss: -2.2919, Avg Alpha Loss: -0.7045
Episode 177, Reward: 0.059999991208314896, Avg Critic Loss: 0.0919, Avg Actor Loss: -2.2900, Avg Alpha Loss: -0.7128
Episode 178, Reward: 0.06499999016523361, Avg Critic Loss: 0.0686, Avg Actor Loss: -2.3035, Avg Alpha Loss: -0.7131
Episode 179, Reward: 0.05499999225139618, Avg Critic Loss: 0.0728, Avg Actor Loss: -2.2495, Avg Alpha Loss: -0.7035
Episode 180, Reward: 0.07499999552965164, Avg Critic Loss: 0.0639, Avg Actor Loss: -2.3655, Avg Alpha Loss: -0.7074
Episode 181, Reward: 0.16999997198581696, Avg Critic Loss: 0.0591, Avg Actor Loss: -2.3576, Avg Alpha Loss: -0.7103
Episode 182, Reward: 0.04999999329447746, Avg Critic Loss: 0.0719, Avg Actor Loss: -2.3443, Avg Alpha Loss: -0.7064
Episode 183, Reward: 0.044999994337558746, Avg Critic Loss: 0.0544, Avg Actor Loss: -2.4542, Avg Alpha Loss: -0.7237
Episode 184, Reward: 0.06999999284744263, Avg Critic Loss: 0.0561, Avg Actor Loss: -2.3893, Avg Alpha Loss: -0.7147
Episode 185, Reward: 0.044999994337558746, Avg Critic Loss: 0.0793, Avg Actor Loss: -2.4780, Avg Alpha Loss: -0.7173
Episode 186, Reward: 0.04999999329447746, Avg Critic Loss: 0.0541, Avg Actor Loss: -2.4510, Avg Alpha Loss: -0.7146
Episode 187, Reward: 0.05499999225139618, Avg Critic Loss: 0.0733, Avg Actor Loss: -2.4038, Avg Alpha Loss: -0.7094
Episode 188, Reward: 0.0950000062584877, Avg Critic Loss: 0.0611, Avg Actor Loss: -2.4856, Avg Alpha Loss: -0.7158
Episode 189, Reward: 0.05499999225139618, Avg Critic Loss: 0.0772, Avg Actor Loss: -2.4890, Avg Alpha Loss: -0.7201
