Episode 110, Reward: 0.03999999538064003, Avg Critic Loss: 0.0278, Avg Actor Loss: -1.0115, Avg Alpha Loss: -0.6621
Episode 111, Reward: 0.04999999329447746, Avg Critic Loss: 0.0209, Avg Actor Loss: -1.0198, Avg Alpha Loss: -0.6639
Episode 112, Reward: 0.07499999552965164, Avg Critic Loss: 0.0218, Avg Actor Loss: -1.0331, Avg Alpha Loss: -0.6643
Episode 113, Reward: 0.0950000062584877, Avg Critic Loss: 0.0198, Avg Actor Loss: -1.0562, Avg Alpha Loss: -0.6657
Episode 114, Reward: 0.03999999538064003, Avg Critic Loss: 0.0175, Avg Actor Loss: -1.0744, Avg Alpha Loss: -0.6670
Episode 115, Reward: 0.044999994337558746, Avg Critic Loss: 0.0167, Avg Actor Loss: -1.0812, Avg Alpha Loss: -0.6669
Episode 116, Reward: 0.10000000894069672, Avg Critic Loss: 0.0163, Avg Actor Loss: -1.0961, Avg Alpha Loss: -0.6677
Episode 117, Reward: 0.07999999821186066, Avg Critic Loss: 0.0169, Avg Actor Loss: -1.1174, Avg Alpha Loss: -0.6695
Episode 118, Reward: 0.06999999284744263, Avg Critic Loss: 0.0135, Avg Actor Loss: -1.1404, Avg Alpha Loss: -0.6690
Episode 119, Reward: 0.044999994337558746, Avg Critic Loss: 0.0145, Avg Actor Loss: -1.1533, Avg Alpha Loss: -0.6713
Episode 120, Reward: 0.07999999821186066, Avg Critic Loss: 0.0144, Avg Actor Loss: -1.1707, Avg Alpha Loss: -0.6718
Episode 121, Reward: 0.05499999225139618, Avg Critic Loss: 0.0241, Avg Actor Loss: -1.1524, Avg Alpha Loss: -0.6719
Episode 122, Reward: 0.059999991208314896, Avg Critic Loss: 0.0228, Avg Actor Loss: -1.1805, Avg Alpha Loss: -0.6738
Episode 123, Reward: 0.06999999284744263, Avg Critic Loss: 0.0174, Avg Actor Loss: -1.2171, Avg Alpha Loss: -0.6744
Episode 124, Reward: 0.04999999329447746, Avg Critic Loss: 0.0197, Avg Actor Loss: -1.2250, Avg Alpha Loss: -0.6752
Episode 125, Reward: 0.044999994337558746, Avg Critic Loss: 0.0171, Avg Actor Loss: -1.2389, Avg Alpha Loss: -0.6761
Episode 126, Reward: 0.059999991208314896, Avg Critic Loss: 0.0153, Avg Actor Loss: -1.2605, Avg Alpha Loss: -0.6772
Episode 127, Reward: 0.07999999821186066, Avg Critic Loss: 0.0152, Avg Actor Loss: -1.2678, Avg Alpha Loss: -0.6774
Episode 128, Reward: 0.044999994337558746, Avg Critic Loss: 0.0227, Avg Actor Loss: -1.2645, Avg Alpha Loss: -0.6784
Episode 129, Reward: 0.059999991208314896, Avg Critic Loss: 0.0150, Avg Actor Loss: -1.2951, Avg Alpha Loss: -0.6786
Episode 130, Reward: 0.03999999538064003, Avg Critic Loss: 0.0201, Avg Actor Loss: -1.3146, Avg Alpha Loss: -0.6791
Episode 131, Reward: 0.07999999821186066, Avg Critic Loss: 0.0188, Avg Actor Loss: -1.3306, Avg Alpha Loss: -0.6806
Episode 132, Reward: 0.05499999225139618, Avg Critic Loss: 0.0261, Avg Actor Loss: -1.3279, Avg Alpha Loss: -0.6807
Episode 133, Reward: 0.05499999225139618, Avg Critic Loss: 0.0195, Avg Actor Loss: -1.3477, Avg Alpha Loss: -0.6807
Episode 134, Reward: 0.06999999284744263, Avg Critic Loss: 0.0198, Avg Actor Loss: -1.3637, Avg Alpha Loss: -0.6811
Episode 135, Reward: 0.044999994337558746, Avg Critic Loss: 0.0230, Avg Actor Loss: -1.3750, Avg Alpha Loss: -0.6821
Episode 136, Reward: 0.044999994337558746, Avg Critic Loss: 0.0175, Avg Actor Loss: -1.4084, Avg Alpha Loss: -0.6823
